Date,Herramienta
20/04/2023 20:13:27,PATRON
20/04/2023 20:18:42,PATRON
20/04/2023 20:23:47,PATRON
20/04/2023 20:28:52,PATRON
20/04/2023 20:34:02,PATRON
20/04/2023 20:39:12,PATRON
20/04/2023 20:44:22,PATRON
20/04/2023 20:49:27,PATRON
20/04/2023 20:54:37,PATRON
20/04/2023 20:59:47,PATRON
20/04/2023 21:04:52,PATRON
20/04/2023 21:10:07,PATRON
20/04/2023 21:15:19,T9995
20/04/2023 21:20:22,T9995
20/04/2023 21:25:27,T9995
20/04/2023 21:30:37,T9995
20/04/2023 21:35:48,T9995
20/04/2023 21:40:52,T9995
20/04/2023 21:46:08,T9995
20/04/2023 21:51:12,T9995
20/04/2023 21:56:22,T9995
20/04/2023 22:01:28,T9995
20/04/2023 22:06:37,T9995
20/04/2023 22:11:48,T9995
20/04/2023 22:16:58,T9995
20/04/2023 22:22:03,T9995
20/04/2023 22:27:18,T9995
20/04/2023 22:32:33,T9995
20/04/2023 22:37:38,T9995
20/04/2023 22:42:43,T9995
20/04/2023 22:47:48,T9995
20/04/2023 22:52:58,T9995
20/04/2023 22:58:03,T9995
20/04/2023 23:03:13,T9995
20/04/2023 23:08:18,T9995
20/04/2023 23:13:28,T9995
20/04/2023 23:18:33,T9995
20/04/2023 23:23:43,T9995
20/04/2023 23:28:53,T9995
20/04/2023 23:34:03,T9995
20/04/2023 23:39:23,T9995
20/04/2023 23:44:33,T9995
20/04/2023 23:49:43,T9995
20/04/2023 23:54:48,T9995
20/04/2023 23:59:58,T9995
21/04/2023 0:05:08,T9995
21/04/2023 0:10:19,T9995
21/04/2023 0:15:23,T9995
21/04/2023 0:20:38,T9995
21/04/2023 0:25:53,T9995
21/04/2023 0:30:58,T9995
21/04/2023 0:36:08,T9995
21/04/2023 0:41:14,T9995
21/04/2023 0:46:24,T9995
21/04/2023 0:51:24,T9995
21/04/2023 0:56:34,T9995
21/04/2023 1:01:44,T9995
21/04/2023 1:06:54,T9995
21/04/2023 1:11:59,T9995
21/04/2023 1:17:04,T9995
21/04/2023 1:22:14,T9995
21/04/2023 1:27:24,T9995
21/04/2023 1:32:34,T9995
21/04/2023 1:37:44,T9995
21/04/2023 1:42:54,T9995
21/04/2023 1:47:54,T9995
21/04/2023 1:53:04,T9995
21/04/2023 1:58:14,T9995
21/04/2023 2:03:24,T9995
21/04/2023 2:08:34,T9995
21/04/2023 2:27:19,T9995
21/04/2023 2:32:24,T9995
21/04/2023 2:37:34,T9995
21/04/2023 2:42:39,T9995
21/04/2023 2:47:49,T9995
21/04/2023 2:52:54,T9995
21/04/2023 2:57:59,T9995
21/04/2023 3:03:04,T9995
21/04/2023 3:08:14,T9995
21/04/2023 3:13:19,T9995
21/04/2023 3:18:29,T9995
21/04/2023 3:23:35,T9995
21/04/2023 3:28:44,T9995
21/04/2023 3:33:50,T9995
21/04/2023 3:38:59,T9995
21/04/2023 3:44:09,T9995
21/04/2023 3:49:14,T9995
21/04/2023 3:54:35,T9995
21/04/2023 3:59:40,T9995
21/04/2023 4:04:50,T9995
21/04/2023 4:09:55,T9995
21/04/2023 4:15:05,T9995
21/04/2023 4:20:10,T9995
21/04/2023 4:25:20,T9995
21/04/2023 4:30:30,T9995
21/04/2023 4:35:41,T9995
21/04/2023 4:40:52,
21/04/2023 4:45:55,
21/04/2023 4:51:11,
21/04/2023 4:56:15,
21/04/2023 5:01:20,
21/04/2023 5:06:25,
21/04/2023 5:11:35,
21/04/2023 5:16:40,
21/04/2023 5:21:50,
21/04/2023 5:26:55,
21/04/2023 5:32:05,
21/04/2023 5:37:11,
21/04/2023 5:42:21,T9998
21/04/2023 5:47:30,T9998
21/04/2023 5:52:35,T9998
21/04/2023 5:57:50,T9998
21/04/2023 6:03:00,T9998
21/04/2023 6:08:05,T9998
21/04/2023 6:13:11,T9998
21/04/2023 6:18:20,T9998
21/04/2023 6:23:26,T9998
21/04/2023 6:28:36,T9997
21/04/2023 6:33:41,T9997
21/04/2023 6:38:46,T9997
21/04/2023 6:43:56,T9997
21/04/2023 6:49:06,T9997
21/04/2023 6:54:16,T9997
21/04/2023 6:59:21,T9997
21/04/2023 7:04:31,T9997
21/04/2023 7:09:36,T9997
21/04/2023 7:14:41,T9997
21/04/2023 7:19:46,T9997
21/04/2023 7:24:56,T9997
21/04/2023 7:30:02,T9997
21/04/2023 7:35:11,T9997
21/04/2023 7:40:16,PATRON
21/04/2023 7:45:26,T9998
21/04/2023 7:50:36,T9998
21/04/2023 7:55:41,T9998
21/04/2023 8:00:56,PATRON
21/04/2023 8:06:01,PATRON
21/04/2023 8:11:11,PATRON
21/04/2023 8:16:26,PATRON
21/04/2023 8:21:41,PATRON
21/04/2023 8:26:47,PATRON
21/04/2023 8:31:57,PATRON
21/04/2023 8:37:02,PATRON
21/04/2023 8:42:12,PATRON
21/04/2023 8:47:17,PATRON
21/04/2023 8:52:27,PATRON
21/04/2023 8:57:32,PATRON
21/04/2023 9:02:37,PATRON
21/04/2023 9:07:47,PATRON
21/04/2023 9:12:57,PATRON
21/04/2023 9:18:12,PATRON
21/04/2023 9:23:17,PATRON
21/04/2023 9:28:27,PATRON
21/04/2023 9:33:37,PATRON
21/04/2023 9:38:47,PATRON
21/04/2023 9:43:52,PATRON
21/04/2023 9:49:02,PATRON
21/04/2023 9:54:13,PATRON
21/04/2023 9:59:17,PATRON
21/04/2023 10:04:32,PATRON
21/04/2023 10:09:37,PATRON
21/04/2023 10:14:47,PATRON
21/04/2023 10:19:57,PATRON
21/04/2023 10:25:12,PATRON
21/04/2023 10:30:18,PATRON
21/04/2023 10:35:27,PATRON
21/04/2023 10:40:33,PATRON
21/04/2023 10:45:43,PATRON
21/04/2023 10:50:52,PATRON
21/04/2023 10:55:58,PATRON
21/04/2023 11:01:08,PATRON
21/04/2023 11:06:13,PATRON
21/04/2023 11:11:23,PATRON
21/04/2023 11:16:28,PATRON
21/04/2023 11:21:43,PATRON
21/04/2023 11:26:43,PATRON
21/04/2023 11:31:53,PATRON
21/04/2023 11:36:58,PATRON
21/04/2023 11:42:08,PATRON
21/04/2023 11:47:13,PATRON
21/04/2023 11:52:23,PATRON
21/04/2023 11:57:28,PATRON
21/04/2023 12:02:38,PATRON
21/04/2023 12:07:48,PATRON
21/04/2023 12:12:53,PATRON
21/04/2023 12:18:03,PATRON
21/04/2023 12:23:14,PATRON
21/04/2023 12:28:23,PATRON
21/04/2023 12:33:28,PATRON
21/04/2023 12:38:38,PATRON
21/04/2023 12:43:43,PATRON
21/04/2023 12:48:53,PATRON
21/04/2023 12:53:59,PATRON
