Turno,Máquina,OF,Cod.Operación,cod_producto,desc_producto,operación,inicio,Fin,Num OFs,Tiempo Plan.,Tiempo Plan.Proceso,Tiempo Real,Sub Área
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:14:24,22/05/2023 20:14:36,1,5:15:00,5:15:00,0:00:12,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:14:36,22/05/2023 20:31:16,1,5:15:00,5:15:00,0:16:40,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:31:16,22/05/2023 20:58:56,1,5:15:00,5:15:00,0:27:40,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:58:56,22/05/2023 22:00:00,1,5:15:00,5:15:00,1:01:04,Mecanizado
NOCHE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 22:00:00,22/05/2023 22:39:58,1,5:15:00,5:15:00,0:39:58,Mecanizado
NOCHE,DMG 160,4597161,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,22/05/2023 22:39:58,23/05/2023 3:26:36,1,3:45:00,3:45:00,4:46:38,Mecanizado
NOCHE,DMG 160,4619267,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,23/05/2023 3:26:36,23/05/2023 6:00:00,1,4:30:00,4:30:00,2:33:24,Mecanizado
MAÑANA,DMG 160,4619267,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,23/05/2023 6:00:00,23/05/2023 7:30:14,1,4:30:00,4:30:00,1:30:14,Mecanizado
MAÑANA,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 13:03:52,23/05/2023 14:00:00,1,4:45:00,4:45:00,0:56:08,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 14:00:00,23/05/2023 14:52:41,1,4:45:00,4:45:00,0:52:41,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 14:52:41,23/05/2023 17:49:27,1,4:45:00,4:45:00,2:56:46,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:27,23/05/2023 17:49:30,1,4:45:00,4:45:00,0:00:03,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:30,23/05/2023 17:49:47,1,4:45:00,4:45:00,0:00:17,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:58,23/05/2023 17:50:06,1,4:45:00,4:45:00,0:00:08,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:18,23/05/2023 17:50:27,1,4:45:00,4:45:00,0:00:09,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:27,23/05/2023 17:50:43,1,4:45:00,4:45:00,0:00:16,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:43,23/05/2023 18:03:53,1,4:45:00,4:45:00,0:13:10,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 18:03:53,23/05/2023 18:07:14,1,2:30:00,2:30:00,0:03:21,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 18:07:14,23/05/2023 21:01:00,1,2:30:00,2:30:00,2:53:46,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 21:01:00,23/05/2023 21:52:26,1,2:30:00,2:30:00,0:51:26,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 21:52:26,23/05/2023 22:00:00,1,2:30:00,2:30:00,0:07:34,Mecanizado
NOCHE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 22:00:00,24/05/2023 0:35:42,1,2:30:00,2:30:00,2:35:42,Mecanizado
NOCHE,DMG 160,4597161,1740,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP58: ACABADO / FINISHING MACHI,24/05/2023 0:35:42,24/05/2023 3:12:47,1,2:30:00,2:30:00,2:37:05,Mecanizado
NOCHE,DMG 160,4597161,1750,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP60: ACABADO / FINISHING MACH,24/05/2023 3:29:40,24/05/2023 4:06:31,1,1:00:00,1:00:00,0:36:51,Mecanizado
NOCHE,DMG 160,4619268,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,24/05/2023 4:06:31,24/05/2023 6:00:00,1,4:30:00,4:30:00,1:53:29,Mecanizado
MAÑANA,DMG 160,4619268,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,24/05/2023 6:00:00,24/05/2023 8:21:08,1,4:30:00,4:30:00,2:21:08,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 12:04:11,24/05/2023 14:00:00,1,4:00:00,4:00:00,1:55:49,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 14:00:00,24/05/2023 14:14:19,1,4:00:00,4:00:00,0:14:19,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 14:14:19,24/05/2023 15:49:43,1,4:00:00,4:00:00,1:35:24,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 15:49:43,24/05/2023 17:20:18,1,4:00:00,4:00:00,1:30:35,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 17:20:18,24/05/2023 17:47:08,1,4:00:00,4:00:00,0:26:50,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 17:47:08,24/05/2023 18:09:37,1,4:00:00,4:00:00,0:22:29,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 18:09:37,24/05/2023 18:19:24,1,4:00:00,4:00:00,0:09:47,Mecanizado
TARDE,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,24/05/2023 18:19:24,24/05/2023 18:22:33,1,4:00:00,4:00:00,0:03:09,Mecanizado
TARDE,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,24/05/2023 18:22:33,24/05/2023 18:22:57,1,4:00:00,4:00:00,0:00:24,Mecanizado
TARDE,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,24/05/2023 18:22:57,24/05/2023 19:17:41,1,4:00:00,4:00:00,0:54:44,Mecanizado
TARDE,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,24/05/2023 19:17:41,24/05/2023 22:00:00,1,4:00:00,4:00:00,2:42:19,Mecanizado
NOCHE,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,24/05/2023 22:00:00,25/05/2023 6:00:00,1,4:00:00,4:00:00,8:00:00,Mecanizado
MAÑANA,DMG 160,4599780,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,25/05/2023 6:00:00,25/05/2023 7:24:05,1,4:00:00,4:00:00,1:24:05,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,25/05/2023 7:24:05,25/05/2023 10:28:05,1,4:00:00,4:00:00,3:04:00,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,25/05/2023 10:28:22,25/05/2023 10:40:56,1,4:00:00,4:00:00,0:12:34,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,25/05/2023 10:40:56,25/05/2023 10:41:29,1,4:00:00,4:00:00,0:00:33,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,25/05/2023 10:41:41,25/05/2023 10:43:00,1,4:00:00,4:00:00,0:01:19,Mecanizado
