Día Productivo,Turno,Máquina,OF,Cod.Operación,cod_producto,desc_producto,inicio,Fin,Num OFs,Tiempo Plan.,Tiempo Plan.Proceso,Tiempo Real,Sub Área
NOCHE,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 22:00:00,21/04/2023 6:00:00,1,29:00:00,29:00:00,8:00:00,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,21/04/2023 6:00:00,21/04/2023 8:25:03,1,29:00:00,29:00:00,2:25:03,Mecanizado
MAÑANA,DMG 160,4575515,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,21/04/2023 8:25:03,21/04/2023 11:33:43,1,5:15:00,5:15:00,3:08:40,Mecanizado
MAÑANA,DMG 160,4575515,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,21/04/2023 11:33:43,21/04/2023 13:37:55,1,5:15:00,5:15:00,2:04:12,Mecanizado
MAÑANA,DMG 160,4575515,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,21/04/2023 13:37:55,21/04/2023 13:37:59,1,5:15:00,5:15:00,0:00:04,Mecanizado
MAÑANA,DMG 160,4575515,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,21/04/2023 13:37:59,21/04/2023 13:46:32,1,5:15:00,5:15:00,0:08:33,Mecanizado
TARDE,DMG 160,4575515,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,21/04/2023 14:09:51,21/04/2023 19:21:04,1,3:45:00,3:45:00,5:11:13,Mecanizado
TARDE,DMG 160,4575515,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,21/04/2023 19:51:19,21/04/2023 22:00:00,1,4:45:00,4:45:00,2:08:41,Mecanizado
NOCHE,DMG 160,4575515,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,21/04/2023 22:00:48,22/04/2023 6:00:00,1,4:45:00,4:45:00,7:59:12,Mecanizado
FESTIVO,DMG 160,4575515,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,22/04/2023 6:01:53,23/04/2023 6:00:00,1,4:45:00,4:45:00,23:58:07,Mecanizado
MAÑANA,DMG 160,4575515,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/04/2023 6:01:17,23/04/2023 14:00:00,1,4:45:00,4:45:00,7:58:43,Mecanizado
TARDE,DMG 160,4575515,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/04/2023 14:00:30,23/04/2023 22:00:00,1,4:45:00,4:45:00,7:59:30,Mecanizado
